Site, Member, Distance, Distance_Value, Duration, Duration_value
5,108,15.2 mi,1811,30 mins,1811
5,109,21.3 mi,2566,43 mins,2566
5,110,12.2 mi,2114,35 mins,2114
6,1,10.5 mi,2048,34 mins,2048
6,2,3.6 mi,985,16 mins,985
6,3,9.0 mi,1431,24 mins,1431
6,4,14.6 mi,1793,30 mins,1793
6,5,12.7 mi,1814,30 mins,1814
6,6,3.6 mi,1289,21 mins,1289
6,7,3.9 mi,1101,18 mins,1101
6,8,6.8 mi,1500,25 mins,1500
6,9,12.2 mi,1617,27 mins,1617
6,10,11.1 mi,1934,32 mins,1934
6,11,39.8 mi,3411,57 mins,3411
6,12,2.4 mi,728,12 mins,728
6,13,9.6 mi,1656,28 mins,1656
6,14,6.5 mi,2036,34 mins,2036
6,15,10.0 mi,2075,35 mins,2075
6,16,2.5 mi,721,12 mins,721
6,17,11.4 mi,1471,25 mins,1471
6,18,8.1 mi,1339,22 mins,1339
6,19,2.8 mi,469,8 mins,469
6,20,4.8 mi,1441,24 mins,1441
6,21,14.6 mi,1977,33 mins,1977
6,22,13.4 mi,1860,31 mins,1860
6,23,4.6 mi,802,13 mins,802
6,24,12.0 mi,2027,34 mins,2027
6,25,2.4 mi,740,12 mins,740
6,26,1.6 mi,557,9 mins,557
6,27,3.2 mi,1034,17 mins,1034
6,28,10.3 mi,1523,25 mins,1523
6,29,14.3 mi,1810,30 mins,1810
6,30,3.4 mi,1355,23 mins,1355
6,31,8.8 mi,1648,27 mins,1648
6,32,10.7 mi,2131,36 mins,2131
6,33,3.0 mi,953,16 mins,953
6,34,9.2 mi,1592,27 mins,1592
6,35,3.7 mi,1165,19 mins,1165
6,36,11.0 mi,1653,28 mins,1653
6,37,30.8 mi,2904,48 mins,2904
6,38,2.2 mi,790,13 mins,790
6,39,9.0 mi,1473,25 mins,1473
6,40,16.6 mi,2154,36 mins,2154
6,41,26.3 mi,2567,43 mins,2567
6,42,13.2 mi,1814,30 mins,1814
6,43,25.6 mi,2529,42 mins,2529
6,44,7.0 mi,1696,28 mins,1696
6,45,4.3 mi,1161,19 mins,1161
6,46,12.0 mi,2283,38 mins,2283
6,47,10.2 mi,2105,35 mins,2105
6,48,15.3 mi,2047,34 mins,2047
6,49,4.5 mi,1275,21 mins,1275
6,50,6.5 mi,1028,17 mins,1028
6,51,3.2 mi,1044,17 mins,1044
6,52,9.0 mi,1520,25 mins,1520
6,53,0.3 mi,150,3 mins,150
6,54,8.4 mi,1305,22 mins,1305
6,55,13.4 mi,1816,30 mins,1816
6,56,20.9 mi,2315,39 mins,2315
6,57,3.8 mi,940,16 mins,940
6,58,6.5 mi,1932,32 mins,1932
6,59,43.0 mi,3386,56 mins,3386
6,60,27.3 mi,2973,50 mins,2973
6,61,7.9 mi,2376,40 mins,2376
6,62,2.7 mi,872,15 mins,872
